Wavelength[nm];Absorption
200.69;1.85
202.75;1.89
205.01;1.97
207.21;2.02
209.40;2.02
211.60;1.98
213.79;1.95
215.98;1.95
218.18;2.00
220.38;2.07
222.21;2.17
224.48;2.24
226.19;2.33
227.59;2.43
228.44;2.47
229.55;2.48
230.59;2.46
231.27;2.42
232.10;2.34
232.75;2.24
233.37;2.15
234.19;2.05
234.40;1.96
235.17;1.84
235.89;1.71
236.67;1.58
236.97;1.48
237.69;1.35
238.47;1.21
238.77;1.10
239.49;0.98
239.92;0.88
240.57;0.78
241.30;0.70
242.23;0.61
243.64;0.52
244.78;0.44
246.18;0.36
248.40;0.30
250.59;0.26
252.78;0.24
254.98;0.22
256.99;0.20
260.28;0.21
263.75;0.24
265.95;0.23
268.14;0.27
270.34;0.30
272.54;0.33
274.73;0.35
276.93;0.36
279.12;0.36
281.31;0.35
283.51;0.32
285.70;0.28
287.89;0.22
290.08;0.16
292.27;0.10
294.46;0.05
296.73;0.03
298.71;0.00
301.03;-0.00
303.23;-0.00
305.42;-0.00
307.62;-0.00
309.81;-0.00
312.00;-0.00
314.20;-0.00
316.39;-0.00
318.59;-0.00
320.78;-0.00
322.98;-0.00
325.17;-0.00
327.36;-0.01
329.56;-0.01
331.75;-0.01
333.95;-0.01
336.14;-0.01
338.33;-0.01
340.53;-0.02
342.72;-0.02
344.91;-0.03
347.11;-0.03
349.30;-0.03
351.50;-0.03
353.69;-0.01
355.89;0.00
358.08;0.02
360.28;0.02
362.47;0.02
364.12;0.02
