Time	log_val	log_err
47.0	0.32770495179286147	0.020689345202735215
179.0	0.31040250113703066	0.02234936248905223
285.0	0.2970848390350306	0.023672885002820696
417.0	0.281030729428697	0.025323262001247616
527.0	0.26839823097521803	0.026665470793492563
639.0	0.25538724937762924	0.028089318563571386
753.0	0.2426665010800419	0.0295232596367982
949.0	0.2230994482356173	0.03181259370508366
1062.0	0.21260467988093604	0.0330836399607309
1207.0	0.19905549743189818	0.0347707002799254
1341.0	0.18847823476475442	0.03612478910083539
1472.0	0.17373707984586492	0.03806779758360857
1749.0	0.1562335331378347	0.040462216530767314
1997.0	0.1401893006689064	0.042743410534437115
2235.0	0.12820504393463814	0.04450318781605379
2679.0	0.10840882655238426	0.04751857352545023
3581.0	0.08881828271273624	0.05064105416210627
3990.0	0.08269792134744691	0.05164579152482545
4522.0	0.07665902513687646	0.052651130655229986
6873.0	0.06345352801691627	0.05489886615391744
7504.0	0.06984916039221332	0.05380171600062383
8654.0	0.06258198422816304	0.05504963149846867
